Customer ID,Name,Age,Gender,Annual Income,Total Spending,Purchase Frequency,Last Purchase Date,Average Order Value,Discount Usage,Preferred Category,Customer Satisfaction
CUST00001,Diya Tiwari,36,Male,41680.18,7366.2,6,2026-07-31,1839.23,24.5,Fashion,7.0
CUST00002,Sakshi Shukla,18,Male,20410.14,15278.79,8,2026-08-01,1638.61,37.44,Electronics,6.0
CUST00003,Aditya Yadav,26,Female,38899.54,5512.45,6,2026-07-07,1366.67,56.84,Fashion,5.0
CUST00004,Sameer Shukla,33,Male,61840.26,7914.74,3,2026-05-22,2529.79,5.43,Beauty,6.0
CUST00005,Diya Sharma,19,Male,29843.85,16721.32,7,2026-06-12,2476.82,52.75,Fashion,6.0
CUST00006,Ananya Yadav,29,Female,51486.17,20953.62,8,2026-07-03,2948.97,54.46,Home & Kitchen,8.0
CUST00007,Akash Srivastava,31,Male,89687.77,5075.06,4,2026-07-09,1774.69,55.85,Home & Kitchen,6.0
CUST00008,Shreya Mehta,35,Female,86254.05,22605.23,8,2026-04-30,2325.66,62.44,Sports,7.0
CUST00009,Krishna Singh,25,Male,38274.99,8404.81,5,2026-08-04,1262.76,26.59,Sports,7.0
CUST00010,Riya Srivastava,30,Female,48860.4,9589.69,8,2026-08-07,974.1,36.2,Sports,10.0
CUST00011,Aditi Tiwari,36,Male,39475.56,31979.04,9,2026-07-06,3108.14,62.85,Home & Kitchen,5.0
CUST00012,Varun Gupta,26,Male,46390.18,12091.63,5,2026-04-07,1936.64,16.61,Beauty,9.0
CUST00013,Tanvi Srivastava,28,Female,29777.83,10114.76,9,2026-07-21,1161.75,58.81,Fashion,7.0
CUST00014,Sakshi Pandey,34,Female,49648.42,11331.04,5,2026-08-08,2521.68,40.86,Books,6.0
CUST00015,Ankit Shukla,33,Male,25652.99,13807.1,11,2026-07-28,1166.11,19.56,Books,7.0
CUST00016,Krishna Pandey,35,Male,50237.19,15196.12,7,2026-04-05,2840.04,13.58,Books,8.0
CUST00017,Tanvi Verma,30,Male,61892.44,33290.96,12,2026-05-07,2456.76,12.14,Fashion,8.0
CUST00018,Krishna Pandey,41,Male,28809.09,50737.12,14,2026-07-12,2986.39,,Electronics,7.0
CUST00019,Rahul Agarwal,18,Male,52093.06,12183.98,4,2026-06-04,2362.71,13.45,Fashion,8.0
CUST00020,Yash Mehta,20,Female,129970.94,35855.4,9,2026-08-01,4297.93,19.56,Fashion,9.0
CUST00021,Shreya Shukla,27,Female,33057.44,17732.86,12,2026-08-05,1976.27,72.44,Sports,2.0
